AttractionId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress
1,5,7,Attraction_1,363 Main Rd
2,37,3,Attraction_2,825 Main Rd
3,31,8,Attraction_3,10 Main Rd
4,21,3,Attraction_4,895 Main Rd
5,21,4,Attraction_5,542 Main Rd
6,41,6,Attraction_6,140 Main Rd
7,5,2,Attraction_7,302 Main Rd
8,33,5,Attraction_8,553 Main Rd
9,10,5,Attraction_9,316 Main Rd
10,5,7,Attraction_10,109 Main Rd
11,25,8,Attraction_11,665 Main Rd
12,46,6,Attraction_12,671 Main Rd
13,35,4,Attraction_13,119 Main Rd
14,36,4,Attraction_14,281 Main Rd
15,34,4,Attraction_15,244 Main Rd
16,37,7,Attraction_16,659 Main Rd
17,25,3,Attraction_17,729 Main Rd
18,7,2,Attraction_18,726 Main Rd
19,40,3,Attraction_19,937 Main Rd
20,22,1,Attraction_20,768 Main Rd
21,24,1,Attraction_21,321 Main Rd
22,18,1,Attraction_22,108 Main Rd
23,9,7,Attraction_23,614 Main Rd
24,44,6,Attraction_24,915 Main Rd
25,37,6,Attraction_25,974 Main Rd
26,31,4,Attraction_26,230 Main Rd
27,19,6,Attraction_27,236 Main Rd
28,39,2,Attraction_28,38 Main Rd
29,26,8,Attraction_29,141 Main Rd
30,21,5,Attraction_30,554 Main Rd
31,22,8,Attraction_31,546 Main Rd
32,11,2,Attraction_32,371 Main Rd
33,5,4,Attraction_33,310 Main Rd
34,27,6,Attraction_34,829 Main Rd
35,42,4,Attraction_35,460 Main Rd
36,3,4,Attraction_36,807 Main Rd
37,41,2,Attraction_37,962 Main Rd
38,39,4,Attraction_38,317 Main Rd
39,14,2,Attraction_39,203 Main Rd
40,30,3,Attraction_40,951 Main Rd
41,8,6,Attraction_41,634 Main Rd
42,36,6,Attraction_42,291 Main Rd
43,33,5,Attraction_43,621 Main Rd
44,17,3,Attraction_44,515 Main Rd
45,4,8,Attraction_45,904 Main Rd
46,46,1,Attraction_46,256 Main Rd
47,21,3,Attraction_47,990 Main Rd
48,42,1,Attraction_48,935 Main Rd
49,32,3,Attraction_49,181 Main Rd
50,37,8,Attraction_50,165 Main Rd
51,36,3,Attraction_51,533 Main Rd
52,10,8,Attraction_52,45 Main Rd
53,18,4,Attraction_53,299 Main Rd
54,22,6,Attraction_54,435 Main Rd
55,24,4,Attraction_55,968 Main Rd
56,3,3,Attraction_56,991 Main Rd
57,26,7,Attraction_57,152 Main Rd
58,8,8,Attraction_58,890 Main Rd
