TransactionId,UserId,VisitYear,VisitMonth,VisitModeId,AttractionId,Rating
1,1680,2022,7,3,51,5.0
2,1781,2019,6,1,38,5.0
3,191,2021,8,5,16,4.0
4,940,2022,4,4,45,3.0
5,1661,2020,6,2,126,3.0
6,953,2020,1,3,108,4.0
7,1681,2023,7,1,32,2.0
8,1872,2019,2,5,102,4.0
9,950,2024,9,3,68,4.0
10,119,2020,11,2,113,3.0
11,681,2021,5,3,38,2.0
12,431,2019,11,1,10,4.0
13,949,2024,5,2,47,3.0
14,1172,2020,11,2,150,3.0
15,928,2023,7,2,84,4.0
16,391,2020,7,1,9,3.0
17,603,2019,5,5,147,4.0
18,1360,2021,12,3,124,4.0
19,54,2022,9,4,82,3.0
20,429,2021,6,1,112,3.0
21,1785,2024,10,4,28,3.0
22,199,2022,6,3,89,5.0
23,830,2023,11,3,137,4.0
24,414,2021,6,4,66,3.0
25,210,2019,10,3,6,3.0
26,846,2021,4,3,114,3.0
27,1043,2022,7,4,110,2.0
28,353,2021,8,1,111,3.0
29,156,2023,7,1,98,3.0
30,270,2024,6,5,21,2.0
31,1304,2019,1,4,18,3.0
32,1721,2019,12,3,119,3.0
33,361,2020,3,4,129,5.0
34,641,2022,3,4,12,3.0
35,688,2019,10,3,88,4.0
36,722,2020,1,1,76,3.0
37,489,2021,10,3,53,4.0
38,111,2021,5,2,97,3.0
39,1051,2024,9,1,138,2.0
40,715,2022,3,5,124,4.0
41,685,2024,9,4,23,3.0
42,530,2023,12,4,70,4.0
43,1859,2021,7,3,141,3.0
44,1221,2024,7,2,36,3.0
45,838,2024,8,3,129,3.0
46,411,2021,5,3,74,5.0
47,1603,2024,7,3,79,3.0
48,1777,2020,8,1,38,3.0
49,65,2020,1,4,138,4.0
50,1860,2023,6,2,80,4.0
51,1399,2023,7,2,87,5.0
52,200,2020,3,3,70,4.0
53,1507,2023,6,5,14,3.0
54,215,2022,5,2,118,5.0
55,102,2022,7,1,50,1.0
56,231,2024,4,5,37,4.0
57,920,2019,11,5,118,3.0
58,1240,2021,8,2,30,4.0
59,815,2020,8,4,103,5.0
60,244,2022,10,5,72,2.0
61,399,2019,1,1,120,4.0
62,1705,2019,4,4,8,4.0
63,1926,2023,3,2,117,4.0
64,1509,2019,8,4,35,3.0
65,207,2021,5,1,131,3.0
66,1640,2024,9,3,54,3.0
67,1384,2024,12,4,2,4.0
68,1053,2020,5,1,74,2.0
69,287,2024,4,4,9,3.0
70,1994,2021,6,1,41,4.0
71,886,2020,6,1,108,3.0
72,89,2022,5,5,85,3.0
73,420,2021,5,5,107,3.0
74,803,2021,5,4,132,4.0
75,125,2021,6,4,71,3.0
76,648,2019,6,1,82,3.0
77,937,2020,6,3,9,3.0
78,1898,2020,4,4,44,4.0
79,173,2024,8,4,109,2.0
80,1154,2021,6,2,10,4.0
81,1832,2022,3,2,54,4.0
82,1613,2021,10,3,21,4.0
83,1850,2024,11,1,129,3.0
84,341,2023,5,4,85,4.0
85,1603,2023,7,2,97,5.0
86,1958,2020,12,3,103,
87,653,2020,4,2,34,4.0
88,998,2024,3,4,8,2.0
89,1062,2024,5,5,60,5.0
90,988,2020,6,3,28,3.0
91,580,2021,6,5,49,4.0
92,1942,2020,8,3,48,3.0
93,1913,2023,4,2,118,3.0
94,762,2024,7,4,48,5.0
95,1611,2024,2,1,23,4.0
96,796,2024,12,2,144,3.0
97,1590,2021,4,3,8,5.0
98,1170,2020,4,2,31,2.0
99,941,2024,2,4,53,2.0
100,257,2021,5,3,10,2.0
101,1310,2020,12,2,135,4.0
102,643,2024,8,2,53,3.0
103,434,2021,9,2,118,3.0
104,387,2019,8,4,21,5.0
105,1964,2024,5,1,79,4.0
106,207,2020,10,4,19,2.0
107,1598,2020,5,1,35,5.0
108,1733,2022,10,2,62,4.0
109,63,2020,12,3,130,4.0
110,1179,2023,1,2,46,3.0
111,1155,2023,3,3,114,2.0
112,718,2022,10,3,14,4.0
113,1334,2020,2,2,38,2.0
114,818,2021,9,3,91,3.0
115,880,2020,3,5,71,5.0
116,864,2024,8,1,76,4.0
117,1602,2023,8,3,102,4.0
118,1267,2019,4,2,12,3.0
119,759,2022,11,4,105,4.0
120,1854,2023,11,1,130,3.0
121,1605,2022,3,1,115,4.0
122,1866,2019,9,3,43,3.0
123,1462,2019,9,3,53,3.0
124,783,2023,4,1,145,3.0
125,1546,2022,10,4,119,3.0
126,659,2022,4,2,140,4.0
127,542,2020,4,5,138,5.0
128,903,2020,9,5,66,4.0
129,1939,2021,2,4,20,3.0
130,1136,2022,12,4,35,3.0
131,768,2021,5,3,45,2.0
132,924,2024,6,4,126,5.0
133,583,2020,9,2,42,5.0
134,1318,2021,11,4,55,5.0
135,701,2020,10,3,128,4.0
136,1109,2019,5,4,25,4.0
137,740,2021,9,3,100,4.0
138,642,2019,5,3,83,4.0
139,1941,2021,7,2,148,5.0
140,692,2022,9,3,74,3.0
141,142,2021,7,2,79,3.0
142,758,2023,1,4,128,4.0
143,1065,2020,1,2,149,4.0
144,190,2021,2,5,110,1.0
145,612,2024,2,4,105,4.0
146,333,2020,9,4,132,1.0
147,1002,2022,3,5,147,5.0
148,1447,2023,3,3,111,
149,1937,2021,4,4,44,3.0
150,779,2020,3,3,97,2.0
151,1727,2023,11,1,36,5.0
152,430,2019,2,1,76,3.0
153,1561,2020,3,1,67,5.0
154,1126,2021,3,2,149,5.0
155,1517,2020,2,2,84,5.0
156,1512,2022,4,5,144,2.0
157,1065,2022,3,2,122,4.0
158,515,2024,5,5,128,5.0
159,1053,2022,2,4,26,4.0
160,1654,2022,12,4,117,3.0
161,1942,2023,10,4,38,4.0
162,1856,2020,8,5,87,4.0
163,363,2021,8,1,73,2.0
164,1195,2023,9,3,39,3.0
165,210,2020,12,2,148,4.0
166,1338,2020,2,2,132,4.0
167,1985,2020,7,3,87,4.0
168,106,2024,3,3,2,3.0
169,1314,2021,6,5,28,3.0
170,1892,2020,11,2,35,3.0
171,1695,2023,8,5,146,3.0
172,785,2024,8,2,61,4.0
173,208,2019,2,3,8,5.0
174,1848,2024,10,2,88,3.0
175,1843,2023,9,5,143,4.0
176,1158,2024,5,3,85,4.0
177,1958,2019,5,1,67,2.0
178,10,2019,7,5,27,4.0
179,1234,2021,10,2,132,3.0
180,78,2024,7,5,16,4.0
181,1872,2021,11,1,141,5.0
182,1361,2023,3,2,34,5.0
183,1827,2020,9,2,21,5.0
184,1126,2021,10,3,53,4.0
185,167,2024,9,4,1,4.0
186,54,2021,5,3,3,5.0
187,672,2023,6,1,28,2.0
188,1487,2022,6,3,104,5.0
189,303,2020,4,3,123,2.0
190,1705,2024,2,2,38,
191,479,2024,3,3,97,4.0
192,993,2023,8,3,53,2.0
193,407,2021,3,3,65,3.0
194,932,2021,10,3,51,5.0
195,905,2020,10,2,134,3.0
