UserId,ContinentId,RegionId,CountryId,CityId
1,5,12,28,46
2,5,12,27,44
3,2,5,13,24
4,1,1,1,2
5,2,6,16,29
6,2,6,15,27
7,1,1,3,7
8,2,6,16,30
9,4,10,23,40
10,1,1,2,5
11,3,7,18,34
12,1,1,3,7
13,3,8,19,36
14,2,4,10,20
15,1,1,1,1
16,5,12,28,46
17,1,2,4,8
18,2,6,16,29
19,1,2,4,9
20,5,12,27,44
21,3,7,18,35
22,4,9,21,38
23,2,4,10,21
24,2,4,11,22
25,2,6,16,30
26,3,8,20,37
27,4,10,23,40
28,1,1,1,1
29,3,7,17,32
30,1,1,2,6
31,1,2,6,14
32,4,9,22,39
33,1,2,5,12
34,4,9,21,38
35,2,4,11,22
36,1,2,5,11
37,1,3,7,16
38,2,6,14,25
39,3,8,19,36
40,2,6,16,29
41,5,12,27,44
42,4,10,24,41
43,3,8,19,36
44,2,6,16,29
45,1,2,6,14
46,2,4,10,20
47,1,1,2,6
48,2,4,9,18
49,5,12,27,44
50,2,4,10,21
51,1,1,2,6
52,3,7,17,31
53,5,12,28,46
54,4,10,24,41
55,1,2,6,13
56,2,4,11,22
57,2,6,14,25
58,1,2,5,12
59,1,2,6,13
60,1,2,5,12
61,5,13,29,47
62,3,8,19,36
63,4,10,23,40
64,4,9,22,39
65,5,12,28,46
66,1,1,2,5
67,4,11,25,42
68,1,1,1,4
69,2,5,12,23
70,2,6,15,28
71,1,3,8,17
72,1,1,3,7
73,1,2,4,10
74,4,9,22,39
75,1,3,7,15
76,1,3,7,15
77,5,12,27,44
78,1,1,3,7
79,5,12,27,44
80,5,12,27,44
81,2,6,16,29
82,1,2,4,8
83,1,2,4,8
84,1,2,6,14
85,2,6,15,28
86,1,2,4,8
87,2,4,11,22
88,1,1,2,6
89,2,6,14,26
90,1,1,1,1
91,3,7,18,34
92,1,1,1,3
93,1,2,4,10
94,1,2,4,9
95,4,10,23,40
96,1,1,1,3
97,2,4,10,21
98,2,6,15,28
99,2,6,14,25
100,3,7,17,32
101,4,9,21,38
102,2,4,9,19
103,4,9,22,39
104,1,3,7,15
105,5,13,29,47
106,2,5,13,24
107,3,7,18,35
108,4,11,25,42
109,4,9,21,38
110,4,10,24,41
111,2,6,14,26
112,1,1,1,3
113,2,5,13,24
114,1,2,4,9
115,4,11,25,42
116,1,2,5,12
117,1,2,5,11
118,1,2,5,12
119,3,7,17,31
120,2,6,15,27
121,5,12,27,45
122,2,4,10,20
123,1,2,6,14
124,1,1,1,3
125,1,1,1,1
126,2,4,9,18
127,5,12,27,44
128,2,6,14,25
129,4,11,25,42
130,1,1,2,5
131,1,1,2,5
132,4,10,23,40
133,1,1,2,6
134,1,1,1,3
135,2,4,9,19
136,5,12,27,44
137,3,7,17,33
138,1,1,2,5
139,4,10,23,40
140,4,10,23,40
141,4,9,21,38
142,4,11,26,43
143,1,2,5,12
144,5,13,29,47
145,1,3,7,16
146,4,9,21,38
147,2,6,15,28
148,3,8,20,37
149,2,6,16,30
150,3,7,17,31
151,2,6,16,29
152,3,8,20,37
153,3,7,18,35
154,1,1,3,7
155,4,9,22,39
156,2,6,14,26
157,1,3,7,16
158,2,6,14,25
159,5,12,28,46
160,4,10,24,41
161,4,10,23,40
162,2,4,11,22
163,3,8,20,37
164,2,4,9,19
165,3,7,17,33
166,3,7,17,31
167,1,2,5,12
168,1,2,6,13
169,1,1,1,3
170,1,1,3,7
171,2,4,10,21
172,2,5,12,23
173,1,2,4,8
174,2,4,10,20
175,2,6,16,29
176,1,2,5,11
177,1,3,7,16
178,2,4,9,18
179,2,5,13,24
180,2,4,9,18
181,3,7,18,35
182,1,3,7,16
183,2,4,10,21
184,2,4,9,18
185,1,2,4,9
186,3,7,17,33
187,1,2,5,12
188,1,2,6,14
189,4,9,21,38
190,5,12,27,45
191,3,7,17,32
192,5,12,27,44
193,4,10,24,41
194,2,5,12,23
195,3,8,20,37
196,1,3,7,16
197,2,4,11,22
198,2,6,14,26
199,5,12,28,46
200,4,10,23,40
201,2,5,12,23
202,3,7,17,31
203,1,2,4,10
204,4,9,21,38
205,2,6,14,26
206,2,6,14,26
207,3,8,20,37
208,2,6,16,30
209,1,1,1,4
210,1,2,6,14
211,1,2,4,9
212,3,7,18,35
213,1,1,1,2
214,1,2,4,10
215,2,6,16,29
216,3,7,17,33
217,2,5,13,24
218,4,10,24,41
219,5,12,27,44
220,1,1,3,7
221,5,12,27,45
222,2,6,16,29
223,2,6,16,30
224,1,1,2,5
225,2,6,16,30
226,3,7,18,35
227,2,6,15,28
228,1,1,1,4
229,2,6,14,25
230,5,12,27,44
231,3,7,18,35
232,1,1,3,7
233,5,12,28,46
234,5,12,28,46
235,1,2,4,8
236,4,9,21,38
237,2,4,10,20
238,2,6,15,28
239,2,4,10,21
240,3,8,20,37
241,5,13,29,47
242,4,9,21,38
243,5,12,27,44
244,5,12,27,45
245,1,1,2,5
246,1,2,5,12
247,3,7,18,34
248,2,6,15,28
249,1,1,1,3
250,1,1,2,5
251,2,6,14,25
252,2,6,16,29
253,1,2,4,8
254,1,2,4,9
255,1,1,3,7
256,2,6,15,27
257,1,1,1,1
258,2,6,15,27
259,2,5,12,23
260,2,4,11,22
261,3,7,17,32
262,2,6,14,25
263,3,7,18,35
264,3,8,19,36
265,5,12,27,44
266,4,9,21,38
267,2,6,14,25
268,2,5,13,24
269,1,2,5,12
270,2,6,16,29
271,1,1,3,7
272,5,12,27,44
273,4,10,23,40
274,1,1,2,6
275,3,8,20,37
276,1,1,2,6
277,3,7,18,34
278,1,1,2,5
279,2,5,12,23
280,3,7,17,31
281,3,7,18,35
282,2,4,10,20
283,5,12,27,44
284,3,8,20,37
285,1,2,4,10
286,3,7,17,32
287,3,7,18,35
288,1,3,7,16
289,3,7,18,35
290,4,11,26,43
291,4,9,22,39
292,3,8,19,36
293,2,6,16,30
294,1,2,6,13
295,4,9,21,38
296,2,4,9,18
297,2,6,14,26
298,1,3,7,15
299,1,3,7,15
300,1,2,4,8
301,5,12,28,46
302,1,1,3,7
303,1,1,2,5
304,5,12,27,44
305,2,6,15,27
306,2,4,10,21
307,3,7,18,35
308,2,4,9,19
309,1,1,3,7
310,3,7,18,35
311,1,2,4,9
312,2,6,14,26
313,5,12,27,45
314,5,12,27,44
315,1,3,8,17
316,3,8,20,37
317,2,6,16,29
318,2,5,12,23
319,1,1,3,7
320,2,4,9,18
321,3,7,17,31
322,5,13,29,47
323,1,1,1,1
324,3,7,18,34
325,4,10,23,40
326,5,12,27,45
327,2,4,10,20
328,1,1,2,6
329,1,2,6,13
330,4,10,23,40
331,4,11,25,42
332,2,6,16,30
333,1,1,2,6
334,1,1,2,6
335,2,5,12,23
336,2,6,15,28
337,1,1,1,2
338,3,7,17,33
339,2,6,14,26
340,1,1,1,1
341,1,1,2,5
342,2,4,11,22
343,3,7,18,34
344,4,9,22,39
345,2,4,10,21
346,1,2,6,14
347,5,12,28,46
348,2,4,11,22
349,1,3,7,15
350,2,4,10,21
351,1,1,1,1
352,1,3,7,15
353,2,6,14,25
354,5,12,27,44
355,3,7,18,35
356,3,8,20,37
357,2,6,14,26
358,1,1,2,6
359,2,4,9,19
360,5,13,29,47
361,1,1,1,3
362,4,11,25,42
363,3,7,17,33
364,1,2,6,14
365,3,8,20,37
366,4,10,23,40
367,1,1,1,3
368,1,1,2,6
369,3,7,17,32
370,5,13,29,47
371,1,1,1,2
372,3,7,17,32
373,1,1,3,7
374,3,7,17,31
375,2,6,16,30
376,1,1,2,5
377,3,7,17,32
378,4,11,26,43
379,4,10,24,41
380,1,1,1,2
381,1,2,5,12
382,1,2,5,12
383,2,4,11,22
384,1,1,3,7
385,4,10,24,41
386,3,8,20,37
387,4,9,21,38
388,1,2,4,10
389,1,1,1,1
390,4,11,26,43
391,1,2,6,14
392,3,7,17,31
393,4,11,26,43
394,1,1,1,2
395,1,1,1,1
396,1,1,1,1
397,1,2,4,8
398,1,1,1,3
399,4,9,22,39
400,2,6,16,29
401,5,13,29,47
402,4,9,21,38
403,5,12,28,46
404,1,2,5,12
405,1,2,6,14
406,4,10,23,40
407,1,2,5,12
408,1,1,1,3
409,3,7,17,32
410,4,9,21,38
411,5,12,28,46
